,0
0,0.2
1,0.2
2,0.2
3,0.2
4,0.2
5,0.2
6,0.2
7,0.2
8,0.2
9,0.2
10,0.2
11,0.4
12,0.4696
13,0.4776
14,0.516
15,0.4648
16,0.6736
17,0.644
18,0.6624
19,0.5984
20,0.7656
21,0.7232
22,0.7864
23,0.86
24,0.7944
25,0.8416
26,0.8128
27,0.8368
28,0.8968
29,0.7616
30,0.876
31,0.9904
32,0.9728
33,0.9648
34,0.956
35,0.9968
36,0.9992
37,0.9992
38,1.0
39,0.9992
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
