,0
0,0.05
1,0.05
2,0.05
3,0.05
4,0.052
5,0.096
6,0.118
7,0.182
8,0.198
9,0.196
10,0.15
11,0.16
12,0.206
13,0.204
14,0.2
15,0.264
16,0.278
17,0.256
18,0.276
19,0.3
20,0.284
21,0.318
22,0.306
23,0.278
24,0.312
25,0.284
26,0.31
27,0.302
28,0.318
29,0.322
30,0.25
31,0.334
32,0.268
33,0.28
34,0.32
35,0.364
36,0.324
37,0.344
38,0.332
39,0.338
40,0.288
41,0.3
42,0.288
43,0.27
44,0.288
45,0.338
46,0.298
47,0.302
48,0.314
49,0.284
50,0.33
51,0.32
52,0.346
53,0.342
54,0.332
55,0.312
56,0.316
57,0.308
58,0.318
59,0.294
60,0.302
61,0.268
62,0.274
63,0.294
64,0.344
65,0.298
66,0.32
67,0.258
68,0.274
69,0.334
70,0.36
71,0.374
72,0.302
73,0.314
74,0.352
75,0.354
76,0.32
77,0.258
78,0.284
79,0.314
80,0.25
81,0.282
82,0.314
83,0.382
84,0.362
85,0.31
86,0.288
87,0.322
88,0.34
89,0.348
90,0.3
91,0.338
92,0.402
93,0.38
94,0.382
95,0.334
96,0.398
97,0.322
98,0.384
99,0.392
100,0.39
101,0.408
102,0.388
103,0.41
104,0.322
105,0.39
106,0.438
107,0.382
108,0.346
109,0.318
110,0.352
111,0.294
112,0.394
113,0.332
114,0.358
115,0.294
116,0.314
117,0.32
118,0.35
119,0.31
120,0.324
121,0.312
122,0.316
123,0.336
124,0.356
125,0.398
126,0.292
127,0.29
128,0.288
129,0.286
130,0.284
131,0.266
132,0.262
133,0.258
134,0.282
135,0.31
136,0.296
137,0.292
138,0.3
139,0.304
140,0.286
141,0.278
142,0.27
143,0.26
144,0.308
145,0.272
146,0.27
147,0.264
148,0.286
149,0.26
150,0.266
151,0.258
152,0.27
153,0.268
154,0.296
155,0.272
156,0.23
157,0.262
158,0.262
159,0.298
160,0.276
161,0.26
162,0.248
163,0.308
164,0.328
165,0.27
166,0.252
167,0.28
168,0.308
169,0.258
170,0.26
171,0.28
172,0.316
173,0.26
174,0.312
175,0.306
176,0.296
177,0.272
178,0.324
179,0.326
180,0.342
181,0.312
182,0.28
183,0.278
184,0.33
185,0.302
186,0.356
187,0.284
188,0.278
189,0.252
190,0.274
191,0.346
192,0.32
193,0.33
194,0.338
195,0.29
196,0.264
197,0.334
198,0.322
199,0.338
200,0.312
201,0.296
202,0.3
203,0.316
204,0.384
205,0.342
206,0.386
207,0.474
208,0.428
209,0.362
210,0.402
211,0.352
212,0.354
213,0.39
214,0.362
215,0.382
216,0.368
217,0.376
218,0.372
219,0.4
220,0.366
221,0.408
222,0.402
223,0.398
224,0.402
225,0.33
226,0.318
227,0.378
228,0.372
229,0.362
230,0.392
231,0.408
232,0.452
233,0.386
234,0.42
235,0.348
236,0.356
237,0.378
238,0.386
239,0.378
240,0.364
241,0.412
242,0.376
243,0.422
244,0.406
245,0.394
246,0.486
247,0.456
248,0.398
249,0.506
250,0.484
251,0.418
252,0.296
253,0.41
254,0.356
255,0.346
256,0.378
257,0.4
258,0.426
259,0.408
260,0.364
261,0.41
262,0.354
263,0.328
264,0.33
265,0.358
266,0.326
267,0.334
268,0.358
269,0.356
270,0.382
271,0.382
272,0.322
273,0.378
274,0.38
275,0.388
276,0.348
277,0.356
278,0.3
279,0.366
280,0.344
281,0.38
282,0.312
283,0.308
284,0.352
285,0.278
286,0.302
287,0.35
288,0.348
289,0.362
290,0.302
291,0.308
292,0.316
293,0.368
294,0.348
295,0.324
296,0.326
297,0.33
298,0.364
299,0.322
300,0.418
301,0.354
302,0.356
303,0.368
304,0.366
305,0.364
306,0.314
307,0.39
308,0.384
309,0.374
310,0.388
311,0.338
312,0.38
313,0.402
314,0.324
315,0.414
316,0.468
317,0.39
318,0.4
319,0.45
320,0.45
321,0.468
322,0.46
323,0.464
324,0.394
325,0.414
326,0.378
327,0.466
328,0.372
329,0.392
330,0.358
331,0.402
332,0.446
333,0.424
334,0.442
335,0.41
336,0.396
337,0.4
338,0.404
339,0.434
340,0.416
341,0.37
342,0.316
343,0.34
344,0.4
345,0.366
346,0.372
347,0.288
348,0.346
349,0.354
350,0.34
351,0.344
352,0.334
353,0.33
354,0.388
355,0.396
356,0.376
357,0.282
358,0.432
359,0.412
360,0.432
361,0.402
362,0.394
363,0.41
364,0.4
365,0.4
366,0.38
367,0.402
368,0.418
369,0.45
370,0.438
371,0.326
372,0.328
373,0.318
374,0.33
375,0.362
376,0.354
377,0.322
378,0.476
379,0.486
380,0.438
381,0.442
382,0.454
383,0.458
384,0.464
385,0.472
386,0.464
387,0.392
388,0.428
389,0.466
390,0.468
391,0.416
392,0.414
393,0.474
394,0.432
395,0.402
396,0.388
397,0.388
398,0.418
399,0.396
400,0.396
401,0.424
402,0.41
403,0.426
404,0.432
405,0.442
406,0.402
407,0.398
408,0.376
409,0.36
410,0.458
411,0.472
412,0.42
413,0.458
414,0.458
415,0.396
416,0.44
417,0.44
418,0.494
419,0.478
420,0.478
421,0.458
422,0.46
423,0.464
424,0.46
425,0.48
426,0.476
427,0.468
428,0.462
429,0.458
430,0.49
431,0.448
432,0.43
433,0.458
434,0.484
435,0.484
436,0.408
437,0.414
438,0.428
439,0.424
440,0.452
441,0.422
442,0.418
443,0.418
444,0.42
445,0.38
446,0.394
447,0.428
448,0.398
449,0.376
450,0.416
451,0.416
452,0.406
453,0.42
454,0.424
455,0.442
456,0.402
457,0.436
458,0.422
459,0.384
460,0.42
461,0.422
462,0.344
463,0.37
464,0.386
465,0.42
466,0.43
467,0.386
468,0.402
469,0.41
470,0.306
471,0.376
472,0.35
473,0.338
474,0.344
475,0.382
476,0.368
477,0.39
478,0.416
479,0.36
480,0.374
481,0.376
482,0.318
483,0.378
484,0.38
485,0.358
486,0.36
487,0.468
488,0.458
489,0.454
490,0.454
491,0.422
492,0.346
493,0.428
494,0.358
495,0.346
496,0.328
497,0.408
498,0.464
499,0.44
